Banner,UPC,Northern California,New York,Kansas,Texas
Safeway,11873171,6.09,,,5.19
Walmart,11873171,5.53,,,4.75
Whole Foods,11873171,,5.69,1.99,5.49
Trader Joes,11873171,,,,4.99
Wegmans,11873171,,5.19,,5.09
Walmart,15052612,57.13,50.75,,
Safeway,15052612,,,53.99,54.49
Trader Joes,15052612,60.19,,,
Whole Foods,15052612,,59.49,1.99,57.79
Wegmans,15052612,,54.49,52.39,52.89
Trader Joes,16482322,,17.69,,17.19
Walmart,16482322,,16.81,,16.31
Wegmans,16482322,,18.09,,17.59
Safeway,16482322,,,17.89,18.09
Whole Foods,16482322,,19.69,1.99,
Walmart,16729338,8.44,7.52,7.22,
Trader Joes,16729338,8.89,7.89,7.59,7.69
Wegmans,16729338,,8.09,,7.79
Safeway,16729338,9.39,,7.99,8.09
Whole Foods,16729338,9.89,8.79,,
Wegmans,16829288,,,,3.49
Walmart,16829288,,3.37,3.26,3.33
Whole Foods,16829288,,,1.99,
Trader Joes,16829288,,,,3.39
Safeway,16829288,4.19,,3.59,3.59
Whole Foods,16900911,36.19,32.19,1.99,
Trader Joes,16900911,32.59,,,27.99
Walmart,16900911,,,26.37,26.64
Wegmans,16900911,,29.49,,28.59
Safeway,16900911,34.19,,29.19,29.49
Walmart,16999755,5.67,5.02,4.86,
Wegmans,16999755,,5.29,5.09,5.19
Trader Joes,16999755,5.89,,,5.09
Whole Foods,16999755,6.49,5.79,1.99,5.59
Safeway,16999755,6.19,,5.29,5.29
Whole Foods,17066659,3.79,3.39,1.99,3.29
Walmart,17066659,3.22,2.95,,2.81
Wegmans,17066659,,3.09,,2.99
Safeway,17066659,3.59,,3.09,3.09
Trader Joes,17066659,,,2.89,2.89
Wegmans,19696884,,,,5.79
Walmart,19696884,6.21,5.54,,
Safeway,19696884,,,,5.89
Whole Foods,19696884,,6.49,1.99,6.29
Trader Joes,19696884,,,,5.59
Whole Foods,19911643,,33.49,1.99,32.59
Trader Joes,19911643,33.99,30.09,28.99,29.19
Safeway,19911643,,,,30.69
Wegmans,19911643,,,,29.79
Walmart,19911643,32.23,28.64,27.56,27.73
Walmart,19982129,,25.71,,25.01
Safeway,19982129,,,27.39,27.69
Wegmans,19982129,,27.69,26.59,26.89
Whole Foods,19982129,,30.19,1.99,29.29
Trader Joes,19982129,,27.09,,26.29
Wegmans,21872584,,8.09,7.79,7.89
Whole Foods,21872584,9.89,8.79,1.99,8.59
Trader Joes,21872584,8.89,,,7.69
Safeway,21872584,,,7.99,
Walmart,21872584,8.55,7.53,7.26,7.36
Walmart,22132676,,5.11,,
Safeway,22132676,,,5.39,
Wegmans,22132676,,5.49,5.29,
Whole Foods,22132676,,5.99,1.99,5.79
Trader Joes,22132676,,,,5.19
Walmart,22976162,52.54,46.67,,
Safeway,22976162,58.19,,49.59,50.09
Whole Foods,22976162,61.59,54.69,1.99,53.09
Trader Joes,22976162,,,47.19,47.69
Wegmans,22976162,,50.09,48.19,48.69
Trader Joes,23493525,,,,25.19
Safeway,23493525,,,26.19,26.49
Whole Foods,23493525,32.59,28.89,1.99,27.99
Walmart,23493525,27.74,24.65,23.7,23.94
Wegmans,23493525,,26.49,,25.69
Safeway,24764365,,,,18.29
Whole Foods,24764365,22.39,19.89,1.99,19.29
Walmart,24764365,,17.05,16.32,
Wegmans,24764365,,18.29,17.49,17.69
Trader Joes,24764365,,,,17.39
Whole Foods,25023603,,16.59,1.99,
Walmart,25023603,,,13.63,13.71
Wegmans,25023603,,15.19,14.59,14.79
Trader Joes,25023603,16.79,,,14.49
Safeway,25023603,,,14.99,15.19
Wegmans,25313327,,17.49,16.79,16.99
Walmart,25313327,18.37,16.3,,15.84
Trader Joes,25313327,,17.09,,16.59
Whole Foods,25313327,,19.09,1.99,18.49
Safeway,25313327,,,17.29,17.49
Whole Foods,26132370,24.79,21.99,1.99,
Wegmans,26132370,,20.19,,19.59
Walmart,26132370,,18.86,,
Trader Joes,26132370,22.29,,,19.19
Safeway,26132370,23.49,,,20.19
Wegmans,26791818,,10.79,,10.49
Safeway,26791818,,,10.69,10.79
Whole Foods,26791818,13.29,11.79,1.99,
Walmart,26791818,11.45,10.15,9.7,9.81
Trader Joes,26791818,,,,10.29
Safeway,26959766,63.79,,54.39,54.99
Trader Joes,26959766,60.69,,,52.29
Walmart,26959766,,51.16,,
Whole Foods,26959766,,59.89,1.99,
Wegmans,26959766,,54.99,52.79,53.29
Trader Joes,27595398,9.59,,,8.29
Wegmans,27595398,,8.69,,8.39
Safeway,27595398,,,8.59,
Walmart,27595398,,8.16,7.85,
Whole Foods,27595398,10.69,,,
Trader Joes,27866264,62.89,,,54.19
Wegmans,27866264,,,54.79,55.29
Safeway,27866264,66.19,,56.39,56.99
Whole Foods,27866264,,62.19,1.99,
Walmart,27866264,59.73,53.0,50.92,
Safeway,35072231,,,49.69,50.19
Trader Joes,35072231,,,,47.69
Whole Foods,35072231,61.69,,,
